Sample_ID	EO_normalised	BL_inferred	n_haps_OK	n_haps_REMOVED	n_haps_chimeric	n_haps_total	frac_nonfunctional	copies_functional	copies_nonfunctional	SI_status	pSI_confidence
Library008_barcode31	EO70	BL2	15	0	5	15	0.0	4	0	SI	
Library008_barcode32	EO70	BL2	7	4	17	11	0.3636	3	1	pSI	high
Library008_barcode33	EO70	BL2	7	0	9	7	0.0	4	0	SI	
Library008_barcode34	EO70	BL2	14	0	14	14	0.0	4	0	SI	
Library008_barcode35	EO70	BL2	19	0	1	19	0.0	4	0	SI	
Library008_barcode36	EO70	BL2	21	0	7	21	0.0	4	0	SI	
Library008_barcode89	EO70	BL2	11	0	13	11	0.0	4	0	SI	
Library008_barcode90	EO70	BL2	10	0	10	10	0.0	4	0	SI	
Library008_barcode91	EO70	BL2	4	0	4	4	0.0	4	0	SI	
Library009_barcode75	EO70	BL2	0	0	0	0				Insufficient_data	
Library009_barcode76	EO70	BL2	0	0	0	0				Insufficient_data	
Library009_barcode77	EO70	BL2	0	0	0	0				Insufficient_data	
Library009_barcode78	EO70	BL2	0	0	0	0				Insufficient_data	
Library009_barcode90	EO70	BL2	0	0	0	0				Insufficient_data	
Library009_barcode91	EO70	BL2	0	0	0	0				Insufficient_data	
Library009_barcode92	EO70	BL2	0	0	0	0				Insufficient_data	
Library009_barcode93	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode57	EO70	BL2	16	0	8	16	0.0	4	0	SI	
Library010_barcode58	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode59	EO70	BL2	4	0	12	4	0.0	4	0	SI	
Library010_barcode65	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode66	EO70	BL2	8	0	20	8	0.0	4	0	SI	
Library010_barcode67	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode68	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode69	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode70	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode71	EO70	BL2	4	0	8	4	0.0	4	0	SI	
Library010_barcode72	EO70	BL2	0	0	4	0				Insufficient_data	
Library010_barcode76	EO70	BL2	8	0	8	8	0.0	4	0	SI	
Library010_barcode77	EO70	BL2	19	0	13	19	0.0	4	0	SI	
Library010_barcode78	EO70	BL2	0	0	0	0				Insufficient_data	
Library010_barcode79	EO70	BL2	2	0	2	2	0.0			Insufficient_data	
Library010_barcode80	EO70	BL2	8	0	8	8	0.0	4	0	SI	
Library011_barcode09	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode10	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode20	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode21	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode22	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode23	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode24	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode25	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode26	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode27	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode28	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode38	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode39	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode40	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode59	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode60	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode61	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode62	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode63	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode81	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode82	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode83	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode84	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode85	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode89	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode90	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode91	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode92	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode93	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode94	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode95	EO70	BL2	0	0	0	0				Insufficient_data	
Library011_barcode96	EO70	BL2	0	0	0	0				Insufficient_data	
Library001_barcode14	EO118	BL3	12	0	20	12	0.0	4	0	SI	
Library002_barcode43	EO118	BL3	25	0	7	25	0.0	4	0	SI	
Library002_barcode48	EO118	BL3	20	0	16	20	0.0	4	0	SI	
Library001_barcode06	EO38	BL3	12	0	0	12	0.0	4	0	SI	
Library002_barcode59	EO38	BL3	0	0	0	0				Insufficient_data	
Library002_barcode35	EO52	BL3	15	0	21	15	0.0	4	0	SI	
Library002_barcode45	EO52	BL3	8	0	20	8	0.0	4	0	SI	
Library001_barcode09	EO76	BL3	13	0	15	13	0.0	4	0	SI	
Library001_barcode17	EO76	BL3	16	0	28	16	0.0	4	0	SI	
Library003_barcode66	EO76	BL3	10	0	10	10	0.0	4	0	SI	
Library003_barcode76	EO76	BL3	13	0	15	13	0.0	4	0	SI	
Library004_barcode84	EO76	BL3	8	0	20	8	0.0	4	0	SI	
Library004_barcode87	EO76	BL3	16	0	4	16	0.0	4	0	SI	
Library005_barcode01	EO76	BL3	15	0	5	15	0.0	4	0	SI	
Library005_barcode02	EO76	BL3	20	4	0	24	0.1667	3	1	pSI	low
Library005_barcode03	EO76	BL3	16	0	8	16	0.0	4	0	SI	
Library005_barcode04	EO76	BL3	19	0	9	19	0.0	4	0	SI	
Library005_barcode05	EO76	BL3	15	0	13	15	0.0	4	0	SI	
Library005_barcode06	EO76	BL3	0	0	28	0				Insufficient_data	
Library005_barcode07	EO76	BL3	30	0	2	30	0.0	4	0	SI	
Library005_barcode08	EO76	BL3	23	0	17	23	0.0	4	0	SI	
Library005_barcode09	EO76	BL3	27	0	5	27	0.0	4	0	SI	
Library005_barcode10	EO76	BL3	31	1	4	32	0.0312	4	0	SI	
Library005_barcode11	EO76	BL3	8	0	0	8	0.0	4	0	SI	
Library005_barcode12	EO76	BL3	12	0	16	12	0.0	4	0	SI	
Library005_barcode13	EO76	BL3	2	0	2	2	0.0			Insufficient_data	
Library005_barcode14	EO76	BL3	23	0	25	23	0.0	4	0	SI	
Library005_barcode15	EO76	BL3	12	0	0	12	0.0	4	0	SI	
Library005_barcode16	EO76	BL3	7	0	1	7	0.0	4	0	SI	
Library005_barcode17	EO76	BL3	29	1	30	30	0.0333	4	0	SI	
Library005_barcode18	EO76	BL3	12	0	0	12	0.0	4	0	SI	
Library005_barcode19	EO76	BL3	8	0	0	8	0.0	4	0	SI	
Library005_barcode20	EO76	BL3	37	0	11	37	0.0	4	0	SI	
Library005_barcode21	EO76	BL3	19	0	5	19	0.0	4	0	SI	
Library006_barcode43	EO76	BL3	8	0	4	8	0.0	4	0	SI	
Library009_barcode01	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode02	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode03	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode04	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode05	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode06	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode07	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode08	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode09	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode10	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode11	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode12	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode13	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode14	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode15	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode16	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode17	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode18	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode19	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode20	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode21	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode22	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode23	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode24	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode31	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode32	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode49	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode50	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode51	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode52	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode53	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode54	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode55	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode56	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode57	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode58	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode59	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode73	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode74	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode83	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode84	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode85	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode86	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode87	EO76	BL3	0	0	0	0				Insufficient_data	
Library009_barcode88	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode33	EO76	BL3	12	0	4	12	0.0	4	0	SI	
Library010_barcode34	EO76	BL3	12	8	8	20	0.4	2	2	pSI	high
Library010_barcode35	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode41	EO76	BL3	4	0	8	4	0.0	4	0	SI	
Library010_barcode42	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode43	EO76	BL3	2	0	10	2	0.0			Insufficient_data	
Library010_barcode44	EO76	BL3	24	1	11	25	0.04	4	0	SI	
Library010_barcode45	EO76	BL3	8	0	16	8	0.0	4	0	SI	
Library010_barcode46	EO76	BL3	8	0	12	8	0.0	4	0	SI	
Library010_barcode47	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode48	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode49	EO76	BL3	8	0	8	8	0.0	4	0	SI	
Library010_barcode50	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode51	EO76	BL3	21	0	7	21	0.0	4	0	SI	
Library010_barcode52	EO76	BL3	15	0	1	15	0.0	4	0	SI	
Library010_barcode53	EO76	BL3	0	4	20	4	1.0	0	4	SC	
Library010_barcode54	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode55	EO76	BL3	0	0	24	0				Insufficient_data	
Library010_barcode56	EO76	BL3	12	0	4	12	0.0	4	0	SI	
Library010_barcode60	EO76	BL3	4	0	8	4	0.0	4	0	SI	
Library010_barcode61	EO76	BL3	0	0	0	0				Insufficient_data	
Library010_barcode62	EO76	BL3	8	0	4	8	0.0	4	0	SI	
Library010_barcode63	EO76	BL3	4	0	12	4	0.0	4	0	SI	
Library010_barcode64	EO76	BL3	8	0	8	8	0.0	4	0	SI	
Library011_barcode01	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode02	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode03	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode07	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode11	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode12	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode13	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode14	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode15	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode16	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode57	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode58	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode70	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode71	EO76	BL3	0	0	0	0				Insufficient_data	
Library011_barcode72	EO76	BL3	0	0	0	0				Insufficient_data	
Library001_barcode16	EO27	BL4	7	0	13	7	0.0	4	0	SI	
Library001_barcode19	EO27	BL4	8	0	4	8	0.0	4	0	SI	
Library002_barcode28	EO27	BL4	12	4	8	16	0.25	3	1	pSI	high
Library006_barcode37	EO27	BL4	14	0	22	14	0.0	4	0	SI	
Library006_barcode38	EO27	BL4	38	5	1	43	0.1163	4	0	SI	
Library006_barcode39	EO27	BL4	46	0	18	46	0.0	4	0	SI	
Library006_barcode40	EO27	BL4	25	0	7	25	0.0	4	0	SI	
Library006_barcode41	EO27	BL4	20	0	8	20	0.0	4	0	SI	
Library006_barcode44	EO27	BL4	15	0	25	15	0.0	4	0	SI	
Library006_barcode45	EO27	BL4	2	0	2	2	0.0			Insufficient_data	
Library006_barcode46	EO27	BL4	8	0	8	8	0.0	4	0	SI	
Library006_barcode47	EO27	BL4	8	0	4	8	0.0	4	0	SI	
Library006_barcode48	EO27	BL4	11	0	13	11	0.0	4	0	SI	
Library006_barcode49	EO27	BL4	15	1	12	16	0.0625	4	0	SI	
Library006_barcode50	EO27	BL4	4	0	4	4	0.0	4	0	SI	
Library006_barcode51	EO27	BL4	12	0	4	12	0.0	4	0	SI	
Library006_barcode52	EO27	BL4	16	6	10	22	0.2727	3	1	pSI	high
Library006_barcode53	EO27	BL4	7	0	5	7	0.0	4	0	SI	
Library006_barcode54	EO27	BL4	32	0	4	32	0.0	4	0	SI	
Library006_barcode55	EO27	BL4	12	4	4	16	0.25	3	1	pSI	high
Library007_barcode67	EO27	BL4	15	0	9	15	0.0	4	0	SI	
Library007_barcode68	EO27	BL4	11	0	9	11	0.0	4	0	SI	
Library007_barcode69	EO27	BL4	17	0	3	17	0.0	4	0	SI	
Library007_barcode70	EO27	BL4	14	0	6	14	0.0	4	0	SI	
Library007_barcode71	EO27	BL4	4	0	8	4	0.0	4	0	SI	
Library007_barcode72	EO27	BL4	8	0	0	8	0.0	4	0	SI	
Library007_barcode73	EO27	BL4	27	0	13	27	0.0	4	0	SI	
Library007_barcode74	EO27	BL4	25	0	3	25	0.0	4	0	SI	
Library007_barcode75	EO27	BL4	3	0	1	3	0.0			Insufficient_data	
Library007_barcode76	EO27	BL4	28	0	12	28	0.0	4	0	SI	
Library007_barcode77	EO27	BL4	4	0	8	4	0.0	4	0	SI	
Library007_barcode78	EO27	BL4	18	0	10	18	0.0	4	0	SI	
Library007_barcode79	EO27	BL4	4	0	16	4	0.0	4	0	SI	
Library007_barcode80	EO27	BL4	10	0	2	10	0.0	4	0	SI	
Library009_barcode65	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode66	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode67	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode68	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode69	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode70	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode71	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode72	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode79	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode80	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode81	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode82	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode94	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode95	EO27	BL4	0	0	0	0				Insufficient_data	
Library009_barcode96	EO27	BL4	0	0	0	0				Insufficient_data	
Library010_barcode36	EO27	BL4	15	0	1	15	0.0	4	0	SI	
Library010_barcode73	EO27	BL4	15	0	1	15	0.0	4	0	SI	
Library010_barcode74	EO27	BL4	9	0	3	9	0.0	4	0	SI	
Library010_barcode75	EO27	BL4	18	0	2	18	0.0	4	0	SI	
Library010_barcode81	EO27	BL4	13	0	3	13	0.0	4	0	SI	
Library010_barcode82	EO27	BL4	12	2	6	14	0.1429	3	1	pSI	low
Library010_barcode83	EO27	BL4	19	0	9	19	0.0	4	0	SI	
Library010_barcode84	EO27	BL4	16	0	4	16	0.0	4	0	SI	
Library010_barcode85	EO27	BL4	0	0	0	0				Insufficient_data	
Library010_barcode86	EO27	BL4	7	0	9	7	0.0	4	0	SI	
Library010_barcode87	EO27	BL4	4	0	16	4	0.0	4	0	SI	
Library010_barcode88	EO27	BL4	7	0	5	7	0.0	4	0	SI	
Library010_barcode90	EO27	BL4	0	0	0	0				Insufficient_data	
Library010_barcode91	EO27	BL4	0	0	0	0				Insufficient_data	
Library010_barcode92	EO27	BL4	0	0	0	0				Insufficient_data	
Library010_barcode93	EO27	BL4	0	0	0	0				Insufficient_data	
Library010_barcode94	EO27	BL4	8	0	0	8	0.0	4	0	SI	
Library010_barcode95	EO27	BL4	0	0	0	0				Insufficient_data	
Library010_barcode96	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode17	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode18	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode19	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode29	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode30	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode31	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode32	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode34	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode35	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode36	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode37	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode49	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode50	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode51	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode64	EO27	BL4	0	0	0	0				Insufficient_data	
Library011_barcode86	EO27	BL4	0	0	0	0				Insufficient_data	
Library001_barcode02	EO67	BL4	23	4	5	27	0.1481	3	1	pSI	low
Library002_barcode44	EO67	BL4	4	0	12	4	0.0	4	0	SI	
Library003_barcode60	EO67	BL4	8	0	12	8	0.0	4	0	SI	
Library003_barcode63	EO67	BL4	14	0	14	14	0.0	4	0	SI	
Library003_barcode64	EO67	BL4	25	0	11	25	0.0	4	0	SI	
Library003_barcode68	EO67	BL4	11	0	17	11	0.0	4	0	SI	
Library003_barcode75	EO67	BL4	6	0	18	6	0.0	4	0	SI	
Library003_barcode77	EO67	BL4	11	0	25	11	0.0	4	0	SI	
Library003_barcode78	EO67	BL4	5	0	11	5	0.0	4	0	SI	
Library004_barcode80	EO67	BL4	19	0	5	19	0.0	4	0	SI	
Library004_barcode85	EO67	BL4	16	0	12	16	0.0	4	0	SI	
Library004_barcode86	EO67	BL4	7	0	13	7	0.0	4	0	SI	
Library004_barcode88	EO67	BL4	8	0	8	8	0.0	4	0	SI	
Library004_barcode89	EO67	BL4	16	0	8	16	0.0	4	0	SI	
Library004_barcode90	EO67	BL4	0	0	0	0				Insufficient_data	
Library006_barcode56	EO67	BL4	11	0	13	11	0.0	4	0	SI	
Library006_barcode57	EO67	BL4	12	0	0	12	0.0	4	0	SI	
Library006_barcode58	EO67	BL4	4	0	20	4	0.0	4	0	SI	
Library006_barcode59	EO67	BL4	17	1	6	18	0.0556	4	0	SI	
Library006_barcode60	EO67	BL4	15	0	1	15	0.0	4	0	SI	
Library006_barcode61	EO67	BL4	6	0	6	6	0.0	4	0	SI	
Library006_barcode62	EO67	BL4	32	0	8	32	0.0	4	0	SI	
Library006_barcode63	EO67	BL4	15	0	5	15	0.0	4	0	SI	
Library006_barcode64	EO67	BL4	18	0	6	18	0.0	4	0	SI	
Library006_barcode65	EO67	BL4	8	0	16	8	0.0	4	0	SI	
Library006_barcode66	EO67	BL4	18	0	6	18	0.0	4	0	SI	
Library007_barcode81	EO67	BL4	19	0	9	19	0.0	4	0	SI	
Library007_barcode82	EO67	BL4	14	0	6	14	0.0	4	0	SI	
Library007_barcode83	EO67	BL4	14	0	14	14	0.0	4	0	SI	
Library007_barcode84	EO67	BL4	15	0	13	15	0.0	4	0	SI	
Library007_barcode85	EO67	BL4	11	0	17	11	0.0	4	0	SI	
Library007_barcode86	EO67	BL4	14	0	10	14	0.0	4	0	SI	
Library007_barcode87	EO67	BL4	20	0	12	20	0.0	4	0	SI	
Library007_barcode88	EO67	BL4	4	0	4	4	0.0	4	0	SI	
Library009_barcode26	EO67	BL4	0	0	0	0				Insufficient_data	
Library009_barcode27	EO67	BL4	0	0	0	0				Insufficient_data	
Library009_barcode28	EO67	BL4	0	0	0	0				Insufficient_data	
Library009_barcode29	EO67	BL4	0	0	0	0				Insufficient_data	
Library009_barcode30	EO67	BL4	0	0	0	0				Insufficient_data	
Library001_barcode12	EO18	BL5	9	0	19	9	0.0	4	0	SI	
Library001_barcode13	EO18	BL5	5	0	11	5	0.0	4	0	SI	
Library001_barcode20	EO18	BL5	6	0	2	6	0.0	4	0	SI	
Library002_barcode37	EO18	BL5	12	0	8	12	0.0	4	0	SI	
Library002_barcode38	EO18	BL5	17	0	7	17	0.0	4	0	SI	
Library002_barcode51	EO18	BL5	32	0	16	32	0.0	4	0	SI	
Library010_barcode01	EO18	BL5	8	0	8	8	0.0	4	0	SI	
Library010_barcode02	EO18	BL5	18	0	22	18	0.0	4	0	SI	
Library010_barcode03	EO18	BL5	12	0	12	12	0.0	4	0	SI	
Library010_barcode04	EO18	BL5	0	0	0	0				Insufficient_data	
Library010_barcode05	EO18	BL5	8	0	8	8	0.0	4	0	SI	
Library010_barcode06	EO18	BL5	7	0	9	7	0.0	4	0	SI	
